"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","outil_numerique","frequence_utilisation","objectif_utilisation","impact_usages","satisfaction"
201,"Producteur 1","Est",11128577.75,"Ordinateur","Wi-Fi","Quotidienne","Application de gestion des cultures","Quotidienne","Suivi de la qualité","Accès facilité aux informations","Faible"
202,"Producteur 2","Centre-Ouest",8304910.63,"Ordinateur","2G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Gestion des cultures","Accès facilité aux informations","Moyenne"
203,"Producteur 3","Centre-Ouest",11373777.93,"Smartphone","3G","Mensuelle","Application de gestion des cultures","Quotidienne","Gestion des cultures","Réduction des coûts","Faible"
204,"Producteur 4","Centre-Ouest",16137830.76,"Smartphone","Wi-Fi","Hebdomadaire","Application de gestion des cultures","Hebdomadaire","Vente","Réduction des coûts","Moyenne"
205,"Producteur 5","Ouest",12919523.88,"Ordinateur","4G","Mensuelle","Application de gestion des cultures","Mensuelle","Vente","Accès facilité aux informations","Élevée"
206,"Producteur 6","Ouest",2975183.01,"Smartphone","4G","Hebdomadaire","Application de gestion des cultures","Quotidienne","Suivi de la qualité","Amélioration des rendements","Élevée"
207,"Producteur 7","Ouest",4647857.68,"Tablette","2G","Quotidienne","Application de gestion des cultures","Quotidienne","Vente","Accès facilité aux informations","Faible"
208,"Producteur 8","Est",17000098.24,"Ordinateur","Wi-Fi","Quotidienne","Plateforme de commercialisation","Quotidienne","Vente","Amélioration des rendements","Faible"
209,"Producteur 9","Centre-Ouest",10108155.64,"Smartphone","Wi-Fi","Mensuelle","Plateforme de commercialisation","Quotidienne","Vente","Accès facilité aux informations","Moyenne"
210,"Producteur 10","Centre-Ouest",15767951.17,"Smartphone","2G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Vente","Accès facilité aux informations","Moyenne"
211,"Producteur 11","Est",16545403.56,"Ordinateur","4G","Hebdomadaire","Plateforme de commercialisation","Quotidienne","Vente","Accès facilité aux informations","Moyenne"
212,"Producteur 12","Est",6641744.86,"Smartphone","3G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Vente","Réduction des coûts","Moyenne"
213,"Producteur 13","Est",5307488.85,"Tablette","Wi-Fi","Mensuelle","Application de gestion des cultures","Quotidienne","Suivi de la qualité","Amélioration des rendements","Moyenne"
214,"Producteur 14","Centre-Ouest",12786799.97,"Tablette","2G","Mensuelle","Plateforme de commercialisation","Mensuelle","Suivi de la qualité","Amélioration des rendements","Élevée"
215,"Producteur 15","Ouest",8103635.88,"Smartphone","4G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Gestion des cultures","Accès facilité aux informations","Élevée"
216,"Producteur 16","Ouest",17833475.94,"Tablette","Wi-Fi","Quotidienne","Application de gestion des cultures","Mensuelle","Gestion des cultures","Amélioration des rendements","Faible"
217,"Producteur 17","Ouest",3385100.55,"Smartphone","3G","Hebdomadaire","Plateforme de commercialisation","Mensuelle","Gestion des cultures","Réduction des coûts","Faible"
218,"Producteur 18","Ouest",4001935.22,"Tablette","3G","Quotidienne","Plateforme de commercialisation","Quotidienne","Suivi de la qualité","Réduction des coûts","Moyenne"
219,"Producteur 19","Est",13130787.99,"Tablette","4G","Mensuelle","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Accès facilité aux informations","Moyenne"
220,"Producteur 20","Est",4536480.68,"Ordinateur","3G","Mensuelle","Plateforme de commercialisation","Quotidienne","Suivi de la qualité","Réduction des coûts","Faible"
221,"Producteur 21","Ouest",13625664.91,"Ordinateur","Wi-Fi","Hebdomadaire","Plateforme de commercialisation","Hebdomadaire","Gestion des cultures","Amélioration des rendements","Élevée"
222,"Producteur 22","Est",10728491.24,"Ordinateur","2G","Quotidienne","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Amélioration des rendements","Faible"
223,"Producteur 23","Est",15090776.97,"Tablette","2G","Quotidienne","Application de gestion des cultures","Mensuelle","Gestion des cultures","Réduction des coûts","Moyenne"
224,"Producteur 24","Est",7393747.56,"Tablette","2G","Quotidienne","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Accès facilité aux informations","Élevée"
225,"Producteur 25","Ouest",3114100.54,"Tablette","2G","Mensuelle","Plateforme de commercialisation","Quotidienne","Vente","Amélioration des rendements","Faible"
226,"Producteur 26","Ouest",8643502.86,"Smartphone","2G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Vente","Amélioration des rendements","Moyenne"
227,"Producteur 27","Centre-Ouest",11311276.06,"Tablette","3G","Mensuelle","Plateforme de commercialisation","Quotidienne","Vente","Amélioration des rendements","Moyenne"
228,"Producteur 28","Ouest",15064964.46,"Ordinateur","Wi-Fi","Quotidienne","Application de gestion des cultures","Mensuelle","Vente","Amélioration des rendements","Faible"
229,"Producteur 29","Centre-Ouest",4278831.54,"Smartphone","2G","Mensuelle","Plateforme de commercialisation","Quotidienne","Gestion des cultures","Amélioration des rendements","Élevée"
230,"Producteur 30","Centre-Ouest",12143223.11,"Tablette","4G","Quotidienne","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Amélioration des rendements","Faible"
231,"Producteur 31","Centre-Ouest",10497084.3,"Smartphone","2G","Hebdomadaire","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Accès facilité aux informations","Élevée"
232,"Producteur 32","Centre-Ouest",18790812.77,"Tablette","4G","Mensuelle","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Amélioration des rendements","Moyenne"
233,"Producteur 33","Ouest",18295759.09,"Tablette","Wi-Fi","Hebdomadaire","Plateforme de commercialisation","Mensuelle","Vente","Réduction des coûts","Élevée"
234,"Producteur 34","Centre-Ouest",3905225.58,"Smartphone","Wi-Fi","Mensuelle","Application de gestion des cultures","Hebdomadaire","Suivi de la qualité","Accès facilité aux informations","Élevée"
235,"Producteur 35","Ouest",6838652.6,"Smartphone","3G","Quotidienne","Plateforme de commercialisation","Hebdomadaire","Vente","Accès facilité aux informations","Élevée"
236,"Producteur 36","Centre-Ouest",14267589.2,"Smartphone","4G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Gestion des cultures","Accès facilité aux informations","Élevée"
237,"Producteur 37","Est",15501089.58,"Smartphone","Wi-Fi","Mensuelle","Application de gestion des cultures","Mensuelle","Gestion des cultures","Réduction des coûts","Élevée"
238,"Producteur 38","Est",10687523.44,"Tablette","2G","Hebdomadaire","Application de gestion des cultures","Hebdomadaire","Vente","Réduction des coûts","Moyenne"
239,"Producteur 39","Ouest",5307816.27,"Ordinateur","4G","Mensuelle","Application de gestion des cultures","Hebdomadaire","Vente","Amélioration des rendements","Faible"
240,"Producteur 40","Est",4151367.06,"Smartphone","3G","Mensuelle","Plateforme de commercialisation","Mensuelle","Vente","Accès facilité aux informations","Moyenne"
241,"Producteur 41","Centre-Ouest",7006605.86,"Ordinateur","2G","Quotidienne","Plateforme de commercialisation","Mensuelle","Gestion des cultures","Réduction des coûts","Moyenne"
242,"Producteur 42","Centre-Ouest",1853880.64,"Smartphone","4G","Mensuelle","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Amélioration des rendements","Moyenne"
243,"Producteur 43","Centre-Ouest",13721799.85,"Tablette","3G","Quotidienne","Plateforme de commercialisation","Hebdomadaire","Gestion des cultures","Amélioration des rendements","Élevée"
244,"Producteur 44","Est",15179266.29,"Smartphone","4G","Mensuelle","Application de gestion des cultures","Mensuelle","Suivi de la qualité","Accès facilité aux informations","Élevée"
245,"Producteur 45","Ouest",5722133.89,"Smartphone","4G","Hebdomadaire","Application de gestion des cultures","Quotidienne","Gestion des cultures","Réduction des coûts","Faible"
246,"Producteur 46","Ouest",9872111.22,"Ordinateur","3G","Hebdomadaire","Application de gestion des cultures","Hebdomadaire","Gestion des cultures","Réduction des coûts","Moyenne"
247,"Producteur 47","Centre-Ouest",1841459.21,"Ordinateur","2G","Mensuelle","Plateforme de commercialisation","Hebdomadaire","Suivi de la qualité","Amélioration des rendements","Faible"
248,"Producteur 48","Centre-Ouest",2867052.11,"Smartphone","Wi-Fi","Quotidienne","Application de gestion des cultures","Hebdomadaire","Vente","Amélioration des rendements","Faible"
