"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","outil_numerique","frequence_utilisation","objectif_utilisation","impact","satisfaction"
101,"Éleveur 1","Autres zones",6773258.81,"Tablette","4G","Mensuelle","Application de paiement","Hebdomadaire","Gestion du lait","Négatif","Accès limité"
102,"Éleveur 2","Autres zones",5613174.74,"Tablette","4G","Mensuelle","Plateforme de gestion","Quotidienne","Gestion du lait","Négatif","Accès limité"
103,"Éleveur 3","Richard-Toll",3883169.06,"Smartphone","3G","Quotidienne","Application de collecte de lait","Hebdomadaire","Paiement","Neutre","Accès limité"
104,"Éleveur 4","Richard-Toll",6232898.42,"Tablette","3G","Quotidienne","Plateforme de gestion","Quotidienne","Paiement","Positif","Usages restreints"
105,"Éleveur 5","Autres zones",6556099.67,"Ordinateur","3G","Mensuelle","Plateforme de gestion","Mensuelle","Paiement","Positif","Accès limité"
106,"Éleveur 6","Autres zones",4944470.84,"Smartphone","2G","Mensuelle","Plateforme de gestion","Hebdomadaire","Paiement","Négatif","Accès limité"
107,"Éleveur 7","Autres zones",2533320.83,"Tablette","4G","Mensuelle","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Positif","Moins d’opportunités"
108,"Éleveur 8","Autres zones",7435724.47,"Ordinateur","2G","Quotidienne","Plateforme de gestion","Quotidienne","Paiement","Neutre","Moins d’opportunités"
109,"Éleveur 9","Autres zones",7730078.94,"Ordinateur","4G","Quotidienne","Application de collecte de lait","Quotidienne","Paiement","Négatif","Usages restreints"
110,"Éleveur 10","Autres zones",8595232.37,"Tablette","3G","Quotidienne","Application de paiement","Mensuelle","Gestion du lait","Neutre","Accès limité"
111,"Éleveur 11","Richard-Toll",5812831.42,"Tablette","3G","Quotidienne","Application de paiement","Hebdomadaire","Suivi de l’alimentation","Positif","Moins d’opportunités"
112,"Éleveur 12","Richard-Toll",3720117.35,"Tablette","Wi-Fi","Quotidienne","Application de collecte de lait","Hebdomadaire","Suivi de l’alimentation","Négatif","Moins d’opportunités"
113,"Éleveur 13","Autres zones",5108663.64,"Smartphone","3G","Mensuelle","Plateforme de gestion","Hebdomadaire","Gestion du lait","Neutre","Moins d’opportunités"
114,"Éleveur 14","Autres zones",4459082.81,"Smartphone","3G","Hebdomadaire","Application de paiement","Mensuelle","Paiement","Neutre","Accès limité"
115,"Éleveur 15","Autres zones",3241421.69,"Tablette","4G","Mensuelle","Plateforme de gestion","Quotidienne","Suivi de l’alimentation","Positif","Usages restreints"
116,"Éleveur 16","Richard-Toll",6891640.7,"Tablette","3G","Mensuelle","Application de paiement","Mensuelle","Paiement","Positif","Moins d’opportunités"
117,"Éleveur 17","Autres zones",9597913.32,"Smartphone","4G","Mensuelle","Application de collecte de lait","Quotidienne","Gestion du lait","Négatif","Moins d’opportunités"
118,"Éleveur 18","Richard-Toll",3619746.62,"Tablette","4G","Mensuelle","Application de paiement","Hebdomadaire","Gestion du lait","Neutre","Accès limité"
119,"Éleveur 19","Richard-Toll",6851701.78,"Ordinateur","Wi-Fi","Quotidienne","Plateforme de gestion","Hebdomadaire","Suivi de l’alimentation","Positif","Moins d’opportunités"
120,"Éleveur 20","Richard-Toll",5827239.38,"Tablette","4G","Hebdomadaire","Application de paiement","Hebdomadaire","Gestion du lait","Positif","Moins d’opportunités"
121,"Éleveur 21","Richard-Toll",6377066.8,"Tablette","2G","Hebdomadaire","Application de paiement","Hebdomadaire","Gestion du lait","Négatif","Accès limité"
122,"Éleveur 22","Autres zones",1224084.43,"Smartphone","2G","Mensuelle","Application de paiement","Quotidienne","Paiement","Négatif","Accès limité"
123,"Éleveur 23","Richard-Toll",1043575.66,"Smartphone","3G","Mensuelle","Application de collecte de lait","Hebdomadaire","Paiement","Positif","Accès limité"
124,"Éleveur 24","Richard-Toll",2182404.29,"Smartphone","3G","Hebdomadaire","Application de collecte de lait","Hebdomadaire","Paiement","Neutre","Usages restreints"
125,"Éleveur 25","Autres zones",1223353.93,"Smartphone","2G","Quotidienne","Plateforme de gestion","Mensuelle","Suivi de l’alimentation","Positif","Accès limité"
126,"Éleveur 26","Richard-Toll",1829165.07,"Ordinateur","2G","Quotidienne","Application de paiement","Mensuelle","Suivi de l’alimentation","Négatif","Moins d’opportunités"
127,"Éleveur 27","Richard-Toll",5280024.02,"Ordinateur","4G","Quotidienne","Application de collecte de lait","Hebdomadaire","Paiement","Positif","Accès limité"
128,"Éleveur 28","Richard-Toll",2769910.85,"Tablette","4G","Mensuelle","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Négatif","Accès limité"
129,"Éleveur 29","Richard-Toll",8332065.54,"Tablette","2G","Quotidienne","Plateforme de gestion","Hebdomadaire","Gestion du lait","Neutre","Moins d’opportunités"
130,"Éleveur 30","Richard-Toll",3196533.05,"Ordinateur","3G","Hebdomadaire","Application de collecte de lait","Mensuelle","Gestion du lait","Positif","Moins d’opportunités"
131,"Éleveur 31","Richard-Toll",5399268.74,"Smartphone","2G","Hebdomadaire","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Négatif","Accès limité"
132,"Éleveur 32","Richard-Toll",6839942.32,"Smartphone","2G","Hebdomadaire","Plateforme de gestion","Quotidienne","Paiement","Négatif","Usages restreints"
133,"Éleveur 33","Autres zones",2428448.23,"Tablette","3G","Quotidienne","Application de collecte de lait","Mensuelle","Suivi de l’alimentation","Négatif","Accès limité"
134,"Éleveur 34","Autres zones",8532801.2,"Ordinateur","Wi-Fi","Hebdomadaire","Application de paiement","Quotidienne","Paiement","Neutre","Accès limité"
135,"Éleveur 35","Richard-Toll",4929368.77,"Smartphone","3G","Mensuelle","Application de collecte de lait","Hebdomadaire","Gestion du lait","Neutre","Usages restreints"
136,"Éleveur 36","Richard-Toll",3101459.73,"Smartphone","Wi-Fi","Mensuelle","Plateforme de gestion","Hebdomadaire","Gestion du lait","Positif","Usages restreints"
137,"Éleveur 37","Richard-Toll",3689703.93,"Ordinateur","3G","Quotidienne","Application de paiement","Mensuelle","Paiement","Neutre","Moins d’opportunités"
138,"Éleveur 38","Richard-Toll",2434792.03,"Tablette","2G","Mensuelle","Plateforme de gestion","Mensuelle","Suivi de l’alimentation","Neutre","Usages restreints"
139,"Éleveur 39","Richard-Toll",6270103.94,"Smartphone","3G","Mensuelle","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Neutre","Usages restreints"
140,"Éleveur 40","Richard-Toll",2339001.79,"Ordinateur","3G","Mensuelle","Application de paiement","Mensuelle","Paiement","Neutre","Moins d’opportunités"
141,"Éleveur 41","Autres zones",2611536.04,"Smartphone","2G","Quotidienne","Plateforme de gestion","Mensuelle","Gestion du lait","Négatif","Usages restreints"
142,"Éleveur 42","Richard-Toll",4052993.54,"Ordinateur","Wi-Fi","Hebdomadaire","Plateforme de gestion","Mensuelle","Gestion du lait","Négatif","Accès limité"
143,"Éleveur 43","Richard-Toll",2655117.45,"Tablette","4G","Hebdomadaire","Application de collecte de lait","Quotidienne","Suivi de l’alimentation","Positif","Accès limité"
144,"Éleveur 44","Richard-Toll",4649873.7,"Ordinateur","3G","Hebdomadaire","Plateforme de gestion","Hebdomadaire","Paiement","Neutre","Accès limité"
145,"Éleveur 45","Autres zones",6522036.57,"Smartphone","2G","Hebdomadaire","Application de paiement","Mensuelle","Gestion du lait","Négatif","Moins d’opportunités"
146,"Éleveur 46","Autres zones",7171042.01,"Tablette","3G","Quotidienne","Application de collecte de lait","Quotidienne","Paiement","Positif","Usages restreints"
147,"Éleveur 47","Autres zones",8411730.4,"Tablette","4G","Hebdomadaire","Plateforme de gestion","Quotidienne","Paiement","Neutre","Moins d’opportunités"
148,"Éleveur 48","Richard-Toll",4365839.02,"Smartphone","Wi-Fi","Quotidienne","Plateforme de gestion","Hebdomadaire","Suivi de l’alimentation","Positif","Moins d’opportunités"
