"id","nom","zone","revenu_annuel","type_acces","connexion_internet","frequence_acces","application_utilisee","frequence_utilisation","objectif_utilisation","impact_usages","satisfaction"
1,"maraicheur 1","Vallée de l’Ouémé",2162699.9,"Ordinateur","4G","Hebdomadaire","Mobile Money","Quotidienne","Communication","Accès facilité aux informations","Faible"
2,"maraicheur 2","Vallée de l’Ouémé",4928986.42,"Smartphone","2G","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Amélioration des ventes","Moyenne"
3,"maraicheur 3","Vallée de l’Ouémé",1193910.35,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Gestion financière","Accès facilité aux informations","Faible"
4,"maraicheur 4","Sémè Kpodji",909698,"Ordinateur","Wi-Fi","Hebdomadaire","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne"
5,"maraicheur 5","Vallée de l’Ouémé",1138581.09,"Tablette","2G","Quotidienne","Mobile Money","Quotidienne","Communication","Amélioration des ventes","Faible"
6,"maraicheur 6","Sémè Kpodji",3605031.96,"Smartphone","2G","Hebdomadaire","Facebook","Mensuelle","Communication","Amélioration des ventes","Moyenne"
7,"maraicheur 7","Sémè Kpodji",3286654.18,"Ordinateur","2G","Quotidienne","WhatsApp","Mensuelle","Communication","Amélioration des ventes","Moyenne"
8,"maraicheur 8","Sémè Kpodji",4511273.53,"Ordinateur","Wi-Fi","Hebdomadaire","Mobile Money","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Faible"
9,"maraicheur 9","Vallée de l’Ouémé",3528495.92,"Smartphone","4G","Quotidienne","Mobile Money","Quotidienne","Recherche d'informations","Amélioration des ventes","Moyenne"
10,"maraicheur 10","Grand Popo",3816849.82,"Ordinateur","2G","Mensuelle","Mobile Money","Mensuelle","Recherche d'informations","Réduction des coûts","Élevée"
11,"maraicheur 11","Sémè Kpodji",2845110.77,"Smartphone","Wi-Fi","Hebdomadaire","Facebook","Mensuelle","Vente","Amélioration des ventes","Faible"
12,"maraicheur 12","Sémè Kpodji",3469273.02,"Smartphone","2G","Quotidienne","WhatsApp","Mensuelle","Vente","Accès facilité aux informations","Élevée"
13,"maraicheur 13","Grand Popo",4198124.57,"Ordinateur","4G","Mensuelle","Facebook","Quotidienne","Vente","Accès facilité aux informations","Faible"
14,"maraicheur 14","Sémè Kpodji",4038266.98,"Smartphone","4G","Hebdomadaire","Mobile Money","Mensuelle","Recherche d'informations","Accès facilité aux informations","Moyenne"
15,"maraicheur 15","Vallée de l’Ouémé",4909198.63,"Tablette","Wi-Fi","Mensuelle","WhatsApp","Mensuelle","Vente","Réduction des coûts","Élevée"
16,"maraicheur 16","Grand Popo",2477441.91,"Smartphone","3G","Hebdomadaire","Facebook","Quotidienne","Gestion financière","Accès facilité aux informations","Élevée"
17,"maraicheur 17","Vallée de l’Ouémé",1902659.91,"Smartphone","2G","Mensuelle","WhatsApp","Hebdomadaire","Gestion financière","Réduction des coûts","Faible"
18,"maraicheur 18","Vallée de l’Ouémé",2342637.29,"Ordinateur","2G","Mensuelle","Facebook","Quotidienne","Vente","Amélioration des ventes","Élevée"
19,"maraicheur 19","Grand Popo",547102,"Smartphone","2G","Quotidienne","Facebook","Hebdomadaire","Recherche d'informations","Accès facilité aux informations","Moyenne"
20,"maraicheur 20","Grand Popo",1327322.86,"Ordinateur","3G","Hebdomadaire","Mobile Money","Hebdomadaire","Communication","Réduction des coûts","Faible"
21,"maraicheur 21","Grand Popo",4292281.93,"Smartphone","2G","Mensuelle","Facebook","Quotidienne","Recherche d'informations","Réduction des coûts","Faible"
22,"maraicheur 22","Grand Popo",1540228.02,"Smartphone","3G","Quotidienne","Facebook","Mensuelle","Gestion financière","Amélioration des ventes","Moyenne"
23,"maraicheur 23","Vallée de l’Ouémé",1575949.8,"Smartphone","2G","Quotidienne","Facebook","Quotidienne","Communication","Réduction des coûts","Moyenne"
24,"maraicheur 24","Sémè Kpodji",845110.24,"Tablette","Wi-Fi","Mensuelle","Facebook","Hebdomadaire","Gestion financière","Amélioration des ventes","Moyenne"
25,"maraicheur 25","Vallée de l’Ouémé",1605756.55,"Tablette","2G","Hebdomadaire","Facebook","Hebdomadaire","Gestion financière","Réduction des coûts","Faible"
26,"maraicheur 26","Sémè Kpodji",3794608.42,"Ordinateur","4G","Mensuelle","Mobile Money","Quotidienne","Gestion financière","Accès facilité aux informations","Faible"
27,"maraicheur 27","Grand Popo",4313539.24,"Smartphone","4G","Hebdomadaire","WhatsApp","Hebdomadaire","Communication","Accès facilité aux informations","Faible"
28,"maraicheur 28","Sémè Kpodji",2738872.7,"Ordinateur","3G","Hebdomadaire","WhatsApp","Quotidienne","Recherche d'informations","Réduction des coûts","Moyenne"
29,"maraicheur 29","Vallée de l’Ouémé",2245590.63,"Tablette","3G","Hebdomadaire","Mobile Money","Quotidienne","Vente","Réduction des coûts","Élevée"
30,"maraicheur 30","Sémè Kpodji",1609020.47,"Ordinateur","2G","Quotidienne","Mobile Money","Hebdomadaire","Gestion financière","Amélioration des ventes","Faible"
31,"maraicheur 31","Grand Popo",999934.08,"Tablette","4G","Hebdomadaire","Mobile Money","Hebdomadaire","Gestion financière","Réduction des coûts","Faible"
